Year,District,Season,Sown_Extent,Harvested_Extent,Waterfed_Major,Waterfed_Minor,Rainfed,Yield_Extent
2007,BATTICALOA,Yala,2705.0,2141.0,3680.0,3680.0,3680.0,3680.0
2007,AMPARA,Yala,53787.0,53633.0,5025.0,3841.0,3005.414551607445,4993.0
2007,TRINCOMALEE,Yala,10368.0,10368.0,4386.0,4156.0,3005.414551607445,4376.0
2007,KURUNEGALA,Yala,28729.0,22780.0,4704.0,3024.0,3340.0,3755.0
2007,PUTTALAM,Yala,5320.0,5215.0,4403.0,3811.0,3247.0,4145.0
2007,ANURADHAPURA,Yala,14635.0,14623.0,4953.0,4301.0,4301.0,4804.0
2007,POLONNARUWA,Yala,49558.0,49540.0,5065.0,4817.0,3005.414551607445,5057.0
2007,BADULLA,Yala,10705.0,10705.0,4939.0,3874.0,3874.0,4639.0
2007,MONARAGALA,Yala,8926.0,8923.0,4534.0,4166.0,4166.0,4377.0
2007,RATNAPURA,Yala,7437.0,7320.0,5059.0,3760.0,3203.0,3970.0
2007,KEGALLE,Yala,5159.0,5049.0,3866.2728350515463,3210.0,3317.0,3291.0
2007,UDAWALAWE,Yala,9381.0,9381.0,5641.0,3388.6953165208442,3005.414551607445,5641.0
2007,MAHAWELI  'H',Yala,11440.0,11440.0,5136.0,3388.6953165208442,3005.414551607445,5136.0
2008,COLOMBO,Yala,3832.0,3809.0,2959.0,2777.0,3282.0,3172.0
2008,GAMPAHA,Yala,7501.0,7470.0,3182.0,3262.0,3255.0,3243.0
2008,KALUTARA,Yala,12368.0,10849.0,3332.0,2976.0,2695.0,2743.0
2008,KANDY,Yala,11629.0,11617.0,4722.0,3125.0,3799.0,3895.0
2008,MATALE,Yala,11960.0,11874.0,4346.0,3513.0,2629.0,3784.0
2008,NUWARA ELIYA,Yala,2087.0,2045.0,3875.0,3636.0,3636.0,3688.0
2008,GALLE,Yala,14130.0,13510.0,3866.2728350515463,3942.0,3021.0,3027.0
2008,MATARA,Yala,15975.0,15912.0,4263.0,3679.0,3553.0,3755.0
2008,HAMBANTOTA,Yala,24500.0,24451.0,5015.0,3925.0,3025.0,4725.0
2008,JAFFNA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3971.4277163904235
2008,MANNAR,Yala,984.0,886.0,4288.0,4288.0,3005.414551607445,4288.0
2008,VAVUNIYA,Yala,4969.0,4472.0,4389.0,4391.0,4391.0,4390.0
2008,MULLATIVU,Yala,3143.0,2634.0,3094.0,2320.0,3005.414551607445,2963.0
2008,KILINOCHCHI,Yala,4413.0,3681.0,3094.0,2320.0,3005.414551607445,3086.0
2008,BATTICALOA,Yala,17728.0,17702.0,3954.0,3805.0,3805.0,3943.0
2008,AMPARA,Yala,60168.0,60124.0,4948.0,4242.0,4225.0,4927.0
2008,TRINCOMALEE,Yala,15296.0,15145.0,4606.0,3797.0,3005.414551607445,4504.0
2008,KURUNEGALA,Yala,68912.0,68188.0,3642.0,3074.0,2958.0,3148.0
2008,PUTTALAM,Yala,14484.0,14192.0,4136.0,3460.0,2914.0,3746.0
2008,ANURADHAPURA,Yala,49133.0,48235.0,4610.0,4154.0,4154.0,4396.0
2008,POLONNARUWA,Yala,54481.0,54460.0,5000.0,4380.0,3005.414551607445,4971.0
2008,BADULLA,Yala,12746.0,12744.0,4901.0,4070.0,4070.0,4605.0
2008,MONARAGALA,Yala,13716.0,13612.0,4401.0,4161.0,4161.0,4272.0
2008,RATNAPURA,Yala,11331.0,11210.0,4596.0,3730.0,2618.0,3556.0
2008,KEGALLE,Yala,7431.0,7424.0,3866.2728350515463,3077.0,3440.0,3323.0
2008,UDAWALAWE,Yala,10718.0,10503.0,6198.0,3388.6953165208442,3005.414551607445,6198.0
2008,MAHAWELI  'H',Yala,17758.0,17758.0,5403.0,3388.6953165208442,3005.414551607445,5403.0
